,Name,Position,Born,Team,Weight,Match Played,Points,Career Best Points,Raids,Successful Raids,Unsuccessful Raids,Total Raid Points,Tackles,Successful Tackles,Unsuccessful Tackles,Tackle Success Rate,future
208,Shrikant Jadhav,Raider,"Sep 17, 1995",U.P. Yoddha,79.1 kg,18,117,15,241,83,55,114,8,3,5,37.5,y
209,Surender Gill,Raider,"Oct 10, 1998",U.P. Yoddha,80 kg,15,62,8,152,41,37,54,14,7,7,57.14,n
210,Surender Singh,Raider,"Sep 15, 1990",U.P. Yoddha,82.4 kg,4,11,5,23,5,11,10,4,1,3,25,n
211,Ashu Singh,"Defender, right cover","Oct 7, 1998",U.P. Yoddha,-,18,32,4,1,0,0,0,79,30,49,40.5,y
212,Aashish Nagar,"Defender, right corner","Jan 1, 1970",U.P. Yoddha,-,0,0,0,0,0,0,0,0,0,0,0,y
213,Amit,"Defender, left cover","Jul 27, 1996",U.P. Yoddha,-,18,25,4,14,1,0,2,64,21,43,35.93,y
214,Sumit,"Defender, left corner","Mar 24, 1999",U.P. Yoddha,72 kg,18,63,6,7,1,1,2,111,60,51,54.95,y
215,Arkam Shaikh,All Rounder,"Nov 3, 1998",U.P. Yoddha,79 kg,0,0,0,0,0,0,0,0,0,0,0,y
216,Gurdeep,All Rounder,"Jul 26, 1999",U.P. Yoddha,-,2,2,2,0,0,0,0,3,2,1,66.66,y
217,Mohsen Maghsoudloujafari,All Rounder,"Mar 17, 1995",U.P. Yoddha,78 kg,11,8,2,29,4,10,5,8,2,6,37.5,y
218,Narender,All Rounder,"Sep 10, 1986",U.P. Yoddha,78 kg,3,0,0,0,0,0,0,7,0,7,0,n
219,Sachin Kumar,All Rounder,"Aug 1, 1992",U.P. Yoddha,-,12,4,2,14,0,1,0,11,3,8,36.36,y
